Transaction ID,Date,Product Category,Product Name,Units Sold,Unit Price,Total Revenue,Region
10001,2024-03-27,Electronics,Dell XPS 13 Laptop,17,1417.34,24094.78,Middle East
10002,2025-01-01,Electronics,Garmin Forerunner 945,20,512.14,10242.80,Asia
10003,2025-01-08,Beauty Products,The Ordinary Serum Set,16,42.00,672.00,Africa
10004,2025-09-19,Books,Atomic Habits,1,20.45,20.45,North America
10005,2024-03-15,Clothing,Nike Air Force 1,15,81.20,1218.00,Middle East
10006,2024-06-11,Books,The Hobbit,7,14.68,102.76,Europe
10007,2025-03-14,Clothing,Under Armour Training Shirt,17,41.09,698.53,Middle East
10008,2025-02-10,Clothing,Nike Air Force 1,18,90.68,1632.24,Europe
10009,2025-07-25,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",19,31.73,602.87,Oceania
10010,2025-02-03,Sports,Bowflex Adjustable Dumbbells,12,426.64,5119.68,North America
10011,2025-06-17,Books,Deep Work,18,18.98,341.64,North America
10012,2025-07-14,Books,The Alchemist,20,13.97,279.40,Asia
10013,2025-07-02,Beauty Products,L'Oreal Revitalift Cream,14,30.37,425.18,Asia
10014,2025-03-04,Beauty Products,The Ordinary Serum Set,1,40.59,40.59,Oceania
10015,2024-06-24,Home Appliances,Dyson V11 Vacuum,17,538.67,9157.39,North America
10016,2025-03-24,Sports,Hydro Flask Sports Bottle,14,39.75,556.50,Asia
10017,2024-03-21,Home Appliances,Blueair Classic 480i,15,620.91,9313.65,Middle East
10018,2025-08-19,Beauty Products,L'Oreal Revitalift Cream,18,29.40,529.20,Europe
10019,2024-11-24,Beauty Products,The Ordinary Serum Set,16,42.43,678.88,Asia
10020,2025-08-17,Books,Atomic Habits,10,21.32,213.20,North America
10021,2025-05-15,Electronics,MacBook Pro 16-inch,20,2730.32,54606.40,Oceania
10022,2025-05-10,Beauty Products,Clinique Moisture Surge,12,48.78,585.36,Europe
10023,2024-06-02,Sports,Spalding Volleyball,15,35.07,526.05,Oceania
10024,2024-07-02,Books,Sapiens,18,25.81,464.58,North America
10025,2025-12-16,Clothing,Columbia Rain Jacket,15,140.83,2112.45,North America
10026,2025-11-09,Books,The Alchemist,9,12.87,115.83,South America
10027,2025-08-10,Books,Clean Code,3,41.18,123.54,Asia
10028,2025-12-30,Clothing,Nike Air Force 1,7,94.45,661.15,Asia
10029,2025-01-09,Home Appliances,Philips Air Fryer XXL,1,229.60,229.60,Asia
10030,2024-02-25,Beauty Products,The Ordinary Serum Set,3,40.87,122.61,South America
10031,2024-09-05,Home Appliances,Blueair Classic 480i,20,545.35,10907.00,Africa
10032,2025-02-10,Clothing,Columbia Rain Jacket,5,117.12,585.60,Middle East
10033,2024-08-01,Beauty Products,MAC Lipstick Collection,16,83.03,1328.48,South America
10034,2024-11-29,Beauty Products,CeraVe Hydrating Cleanser,16,19.32,309.12,Africa
10035,2025-10-01,Sports,Everlast Boxing Gloves,10,45.84,458.40,Middle East
10036,2025-05-28,Home Appliances,Keurig K-Elite Coffee Maker,19,182.62,3469.78,Asia
10037,2025-02-25,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",17,35.01,595.17,Asia
10038,2024-01-19,Electronics,Samsung Galaxy Tab S8,13,808.15,10505.95,North America
10039,2025-06-02,Clothing,Columbia Rain Jacket,1,117.66,117.66,Asia
10040,2024-09-22,Clothing,Puma Sports Hoodie,15,72.38,1085.70,North America
10041,2024-11-04,Books,Clean Code,19,40.94,777.86,South America
10042,2024-10-18,Home Appliances,iRobot Roomba j7,17,611.90,10402.30,Africa
10043,2025-03-03,Clothing,Vans Old Skool Sneakers,20,75.72,1514.40,Middle East
10044,2024-12-29,Electronics,Nintendo Switch OLED,13,317.38,4125.94,Middle East
10045,2024-03-26,Home Appliances,Dyson V11 Vacuum,18,543.08,9775.44,North America
10046,2025-01-04,Books,Atomic Habits,16,20.83,333.28,North America
10047,2025-07-01,Home Appliances,KitchenAid Stand Mixer,7,475.68,3329.76,Africa
10048,2025-03-14,Home Appliances,Keurig K-Elite Coffee Maker,6,185.81,1114.86,Asia
10049,2024-12-24,Beauty Products,Olaplex Hair Repair Set,3,58.59,175.77,South America
10050,2025-10-31,Clothing,North Face Down Jacket,9,248.19,2233.71,Oceania
10051,2024-07-07,Books,The Psychology of Money,15,16.83,252.45,Africa
10052,2024-11-02,Books,Clean Code,4,40.21,160.84,Africa
10053,2025-11-07,Clothing,Nike Air Force 1,7,85.15,596.05,North America
10054,2024-12-15,Books,The Hobbit,14,15.13,211.82,Oceania
10055,2025-01-13,Sports,Manduka PRO Yoga Mat,1,116.44,116.44,South America
10056,2024-01-19,Clothing,Calvin Klein Slim Fit Shirt,19,95.24,1809.56,South America
10057,2024-06-12,Electronics,Google Pixel 8 Pro,9,1011.15,9100.35,Africa
10058,2024-04-04,Sports,Adidas FIFA Soccer Ball,19,38.35,728.65,Europe
10059,2024-02-05,Sports,Everlast Boxing Gloves,5,46.01,230.05,Europe
10060,2025-05-29,Electronics,Apple Watch Series 9,6,396.11,2376.66,North America
10061,2025-10-09,Clothing,North Face Down Jacket,4,250.32,1001.28,Europe
10062,2024-03-15,Beauty Products,Chanel No. 5 Perfume,10,141.22,1412.20,South America
10063,2025-03-30,Clothing,Puma Sports Hoodie,3,67.70,203.10,Oceania
10064,2024-12-09,Clothing,Under Armour Training Shirt,1,36.45,36.45,South America
10065,2024-12-17,Electronics,Sony WH-1000XM5 Headphones,4,367.50,1470.00,Africa
10066,2024-06-16,Beauty Products,Maybelline Makeup Kit,11,52.79,580.69,Africa
10067,2025-10-08,Sports,Hydro Flask Sports Bottle,2,43.39,86.78,Europe
10068,2025-04-02,Beauty Products,CeraVe Hydrating Cleanser,20,18.85,377.00,Middle East
10069,2024-11-29,Electronics,Dell XPS 13 Laptop,17,1347.15,22901.55,Europe
10070,2024-12-08,Books,The Psychology of Money,12,16.40,196.80,Middle East
10071,2025-11-09,Books,The Da Vinci Code,10,16.61,166.10,Europe
10072,2025-12-21,Sports,Babolat Pure Drive Tennis Racket,10,210.71,2107.10,Europe
10073,2025-02-02,Beauty Products,Neutrogena Skincare Set,18,98.21,1767.78,South America
10074,2025-02-12,Beauty Products,Neutrogena Skincare Set,4,83.91,335.64,North America
10075,2025-05-03,Electronics,iPhone 14 Pro,5,1004.51,5022.55,Africa
10076,2024-08-12,Sports,Callaway Golf Club Set,1,886.45,886.45,South America
10077,2025-08-06,Clothing,Under Armour Training Shirt,13,39.01,507.13,Oceania
10078,2025-01-01,Books,Atomic Habits,5,18.72,93.60,North America
10079,2024-12-15,Sports,Everlast Boxing Gloves,18,48.96,881.28,Europe
10080,2025-10-07,Home Appliances,Ninja Professional Blender,1,90.32,90.32,Africa
10081,2024-11-12,Books,Sapiens,9,27.28,245.52,South America
10082,2024-08-02,Sports,Hydro Flask Sports Bottle,3,42.71,128.13,Africa
10083,2024-07-15,Electronics,Nintendo Switch OLED,9,338.84,3049.56,Africa
10084,2024-01-25,Sports,Bowflex Adjustable Dumbbells,2,443.57,887.14,North America
10085,2025-04-23,Sports,Adidas FIFA Soccer Ball,16,36.46,583.36,South America
10086,2025-03-12,Sports,Everlast Boxing Gloves,5,54.26,271.30,Oceania
10087,2024-11-30,Books,The Hobbit,8,15.17,121.36,Europe
10088,2025-01-16,Clothing,Adidas Ultraboost Shoes,12,184.64,2215.68,Middle East
10089,2024-12-23,Books,The Alchemist,16,14.02,224.32,Middle East
10090,2025-11-03,Beauty Products,L'Oreal Revitalift Cream,7,27.94,195.58,Asia
10091,2024-07-08,Home Appliances,Philips Air Fryer XXL,1,272.51,272.51,Oceania
10092,2024-12-20,Beauty Products,Olaplex Hair Repair Set,2,61.66,123.32,North America
10093,2025-01-08,Clothing,Columbia Rain Jacket,18,136.00,2448.00,South America
10094,2025-08-26,Sports,Babolat Pure Drive Tennis Racket,1,201.33,201.33,Oceania
10095,2025-08-12,Sports,Hydro Flask Sports Bottle,10,40.57,405.70,Asia
10096,2025-02-11,Books,The Alchemist,17,13.80,234.60,Middle East
10097,2025-10-24,Home Appliances,KitchenAid Stand Mixer,4,412.69,1650.76,Middle East
10098,2025-08-29,Books,The Hobbit,18,14.27,256.86,North America
10099,2024-08-19,Sports,Hydro Flask Sports Bottle,7,37.29,261.03,Europe
10100,2025-10-31,Clothing,Calvin Klein Slim Fit Shirt,10,87.42,874.20,Asia
10101,2024-03-12,Home Appliances,Dyson V11 Vacuum,20,514.77,10295.40,Asia
10102,2025-05-18,Clothing,Calvin Klein Slim Fit Shirt,6,93.99,563.94,North America
10103,2025-07-27,Home Appliances,LG Front Load Washer,18,836.04,15048.72,North America
10104,2025-01-11,Electronics,Nintendo Switch OLED,1,373.92,373.92,North America
10105,2024-11-26,Clothing,Puma Sports Hoodie,7,75.47,528.29,Africa
10106,2025-12-05,Beauty Products,CeraVe Hydrating Cleanser,5,17.49,87.45,Europe
10107,2025-12-07,Books,Dune by Frank Herbert,3,25.37,76.11,Africa
10108,2025-09-06,Clothing,Nike Air Force 1,12,89.53,1074.36,Asia
10109,2024-12-15,Electronics,Nintendo Switch OLED,17,332.28,5648.76,Europe
10110,2024-02-16,Sports,Spalding Volleyball,19,33.91,644.29,North America
10111,2024-07-13,Electronics,Canon EOS R10 Camera,10,933.99,9339.90,Middle East
10112,2024-12-29,Home Appliances,Keurig K-Elite Coffee Maker,11,187.43,2061.73,Africa
10113,2024-03-11,Clothing,Columbia Rain Jacket,16,127.47,2039.52,South America
10114,2025-06-29,Home Appliances,Philips Air Fryer XXL,8,268.26,2146.08,Europe
10115,2024-10-27,Clothing,Under Armour Training Shirt,19,39.04,741.76,South America
10116,2024-11-24,Books,Deep Work,5,18.73,93.65,Europe
10117,2024-01-11,Electronics,Dell XPS 13 Laptop,9,1388.70,12498.30,Asia
10118,2024-01-01,Clothing,North Face Down Jacket,18,256.33,4613.94,South America
10119,2025-02-27,Clothing,North Face Down Jacket,18,263.61,4744.98,Europe
10120,2025-11-11,Clothing,Patagonia Fleece Jacket,15,184.78,2771.70,Asia
10121,2024-03-01,Electronics,Nintendo Switch OLED,11,362.18,3983.98,Europe
10122,2025-08-02,Electronics,Canon EOS R10 Camera,18,983.26,17698.68,Asia
10123,2024-06-29,Clothing,Columbia Rain Jacket,2,140.98,281.96,Middle East
10124,2025-03-29,Home Appliances,Dyson V11 Vacuum,9,505.88,4552.92,Europe
10125,2025-07-02,Home Appliances,LG Front Load Washer,19,925.98,17593.62,Asia
10126,2025-11-29,Books,Clean Code,11,36.09,396.99,Oceania
10127,2025-05-02,Home Appliances,Blueair Classic 480i,9,579.18,5212.62,Oceania
10128,2025-04-08,Home Appliances,Philips Air Fryer XXL,17,238.84,4060.28,Middle East
10129,2024-04-22,Clothing,Nike Air Force 1,18,93.45,1682.10,Africa
10130,2024-08-16,Electronics,Samsung Galaxy Tab S8,5,724.49,3622.45,South America
10131,2025-03-01,Books,Atomic Habits,20,20.68,413.60,Middle East
10132,2025-07-15,Clothing,Nike Air Force 1,19,88.50,1681.50,Africa
10133,2025-11-24,Sports,Hydro Flask Sports Bottle,18,37.06,667.08,North America
10134,2024-12-25,Clothing,Under Armour Training Shirt,2,37.47,74.94,Middle East
10135,2025-06-09,Beauty Products,CeraVe Hydrating Cleanser,16,19.59,313.44,Europe
10136,2024-04-08,Clothing,Columbia Rain Jacket,11,132.76,1460.36,Europe
10137,2024-06-11,Books,The Hobbit,9,13.60,122.40,Asia
10138,2025-03-05,Home Appliances,Dyson V11 Vacuum,16,530.88,8494.08,Europe
10139,2025-11-30,Books,Atomic Habits,12,19.08,228.96,Oceania
10140,2025-10-01,Sports,Fitbit Charge 6,10,150.98,1509.80,North America
10141,2025-01-03,Books,Dune by Frank Herbert,17,26.94,457.98,Oceania
10142,2024-03-02,Clothing,Vans Old Skool Sneakers,20,73.44,1468.80,Africa
10143,2025-05-03,Beauty Products,MAC Lipstick Collection,11,79.82,878.02,Middle East
10144,2025-11-13,Clothing,Columbia Rain Jacket,6,119.02,714.12,Africa
10145,2025-07-25,Home Appliances,Instant Pot Duo 7-in-1,17,130.52,2218.84,Asia
10146,2025-10-29,Sports,Babolat Pure Drive Tennis Racket,20,219.17,4383.40,North America
10147,2024-08-11,Books,Atomic Habits,7,19.71,137.97,Oceania
10148,2024-10-27,Beauty Products,Dyson Supersonic Hair Dryer,17,405.16,6887.72,Oceania
10149,2025-08-12,Clothing,Vans Old Skool Sneakers,5,80.93,404.65,Oceania
10150,2025-01-14,Clothing,Columbia Rain Jacket,13,130.84,1700.92,Middle East
10151,2024-05-23,Beauty Products,CeraVe Hydrating Cleanser,5,19.40,97.00,Middle East
10152,2024-01-11,Home Appliances,Keurig K-Elite Coffee Maker,5,201.29,1006.45,Oceania
10153,2024-03-18,Sports,Hydro Flask Sports Bottle,2,42.40,84.80,Oceania
10154,2025-10-10,Electronics,Sony WH-1000XM5 Headphones,10,435.27,4352.70,South America
10155,2024-02-07,Home Appliances,Instant Pot Duo 7-in-1,18,135.01,2430.18,South America
10156,2024-09-10,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",6,34.26,205.56,Oceania
10157,2024-09-14,Home Appliances,Keurig K-Elite Coffee Maker,14,195.36,2735.04,Asia
10158,2025-07-15,Beauty Products,Neutrogena Skincare Set,10,84.97,849.70,Europe
10159,2024-01-19,Beauty Products,Chanel No. 5 Perfume,15,134.68,2020.20,Asia
10160,2025-01-07,Home Appliances,LG Front Load Washer,5,938.66,4693.30,North America
10161,2024-08-27,Books,The Da Vinci Code,2,14.69,29.38,Africa
10162,2024-08-09,Sports,Callaway Golf Club Set,11,946.21,10408.31,South America
10163,2024-08-26,Beauty Products,CeraVe Hydrating Cleanser,3,18.70,56.10,Asia
10164,2024-03-29,Home Appliances,Keurig K-Elite Coffee Maker,8,179.53,1436.24,Asia
10165,2025-11-23,Home Appliances,LG Front Load Washer,6,906.45,5438.70,Oceania
10166,2025-02-21,Books,Sapiens,15,26.77,401.55,Middle East
10167,2025-08-10,Home Appliances,Instant Pot Duo 7-in-1,15,141.30,2119.50,Africa
10168,2024-04-22,Beauty Products,Clinique Moisture Surge,3,48.40,145.20,South America
10169,2025-01-14,Sports,Adidas FIFA Soccer Ball,4,42.04,168.16,Europe
10170,2024-11-12,Sports,Hydro Flask Sports Bottle,6,36.91,221.46,South America
10171,2024-09-02,Sports,Fitbit Charge 6,7,172.77,1209.39,Asia
10172,2025-03-12,Electronics,Nintendo Switch OLED,5,360.36,1801.80,Middle East
10173,2025-05-10,Clothing,Puma Sports Hoodie,12,73.46,881.52,Asia
10174,2024-02-20,Beauty Products,Clinique Moisture Surge,9,48.05,432.45,Asia
10175,2024-10-18,Home Appliances,Blueair Classic 480i,5,607.15,3035.75,Europe
10176,2024-05-22,Books,Sapiens,20,25.65,513.00,North America
10177,2025-11-03,Sports,Everlast Boxing Gloves,11,52.54,577.94,Middle East
10178,2024-02-03,Electronics,Canon EOS R10 Camera,15,949.79,14246.85,Oceania
10179,2025-02-01,Beauty Products,The Ordinary Serum Set,4,42.50,170.00,Europe
10180,2025-09-04,Electronics,Samsung Galaxy Tab S8,19,681.27,12944.13,Africa
10181,2024-11-25,Books,Deep Work,4,18.56,74.24,Middle East
10182,2025-07-04,Beauty Products,Clinique Moisture Surge,20,44.80,896.00,North America
10183,2024-05-17,Home Appliances,LG Front Load Washer,5,814.78,4073.90,Asia
10184,2025-06-02,Electronics,MacBook Pro 16-inch,18,2680.23,48244.14,North America
10185,2025-10-02,Electronics,Samsung Galaxy Tab S8,20,753.11,15062.20,Middle East
10186,2024-04-04,Clothing,North Face Down Jacket,10,272.90,2729.00,South America
10187,2025-01-21,Clothing,Vans Old Skool Sneakers,8,78.39,627.12,Africa
10188,2025-07-27,Clothing,Under Armour Training Shirt,2,39.90,79.80,Africa
10189,2025-01-12,Home Appliances,Philips Air Fryer XXL,7,263.43,1844.01,Africa
10190,2025-11-29,Books,Deep Work,13,18.92,245.96,North America
10191,2024-04-27,Books,Atomic Habits,13,20.91,271.83,Africa
10192,2025-09-08,Books,"Salt, Fat, Acid, Heat by Samin Nosrat",10,31.28,312.80,Africa
10193,2024-10-11,Clothing,Puma Sports Hoodie,14,80.44,1126.16,Africa
10194,2024-11-06,Electronics,Dell XPS 13 Laptop,20,1396.06,27921.20,South America
10195,2024-10-29,Beauty Products,Chanel No. 5 Perfume,19,126.57,2404.83,South America
10196,2024-02-27,Beauty Products,Chanel No. 5 Perfume,18,121.41,2185.38,Asia
10197,2024-08-10,Electronics,Samsung Galaxy Tab S8,14,735.13,10291.82,North America
10198,2024-09-08,Home Appliances,Ninja Professional Blender,2,95.24,190.48,Oceania
10199,2024-07-11,Home Appliances,KitchenAid Stand Mixer,9,487.08,4383.72,North America
10200,2024-12-29,Clothing,North Face Down Jacket,2,235.92,471.84,Oceania
10201,2025-07-23,Sports,Everlast Boxing Gloves,4,53.98,215.92,Africa
