House_Size_sqft,Bedrooms,House_Age_years,Distance_to_City_km,Price_Lakh
1959,3,23,6.8,105.8
2035,4,17,2.8,133.9
1514,2,2,5.6,91.0
1057,2,22,12.4,46.1
1101,2,8,18.0,66.1
2079,4,8,4.3,129.7
2213,4,2,9.0,130.9
1191,3,23,10.6,64.8
905,2,12,2.7,54.1
2463,5,18,5.0,156.0
792,1,7,17.2,47.8
2424,4,8,10.5,138.6
2358,4,11,8.5,131.0
2049,4,19,14.3,97.6
1743,4,5,10.7,104.4
2059,4,21,7.8,131.3
2223,4,7,18.3,123.9
785,1,30,12.9,18
2120,4,20,11.5,122.1
942,1,7,16.6,34.5
1753,3,18,10.0,87.0
933,2,2,16.9,46.0
2413,4,20,4.4,133.1
1438,2,14,12.1,63.2
1783,4,0,15.3,118.8
2187,4,20,8.1,131.7
1251,2,14,1.1,73.2
1675,3,16,20.2,67.1
2432,5,26,14.4,124.1
2211,3,30,17.4,96.7
1736,4,19,7.8,116.2
2449,5,25,7.5,139.1
768,1,18,20.9,26.8
791,2,17,17.1,35.2
912,2,30,12.5,31.1
1516,3,29,12.3,85.1
2144,4,22,7.5,129.2
1547,3,14,3.5,92.6
1110,1,0,13.4,60.0
795,2,1,5.8,61.2
2504,4,10,2.5,152.7
1088,2,23,20.6,48.8
1819,3,7,17.5,97.9
848,2,11,9.9,41.9
1606,4,1,15.1,100.8
1474,3,25,19.1,62.6
1159,2,17,10.4,52.2
1161,3,2,10.3,76.9
2414,5,3,2.1,172.1
841,2,27,6.0,38.5
1482,3,6,19.2,81.2
654,2,8,20.5,23.8
2257,4,13,15.6,120.1
2005,4,4,5.0,114.5
1095,3,18,16.5,57.5
752,2,16,20.3,28.2
1737,3,30,11.7,83.0
789,2,7,9.5,44.6
2578,5,7,13.2,153.6
1996,4,16,7.6,115.8
1184,2,22,7.6,57.9
1971,3,10,20.5,102.4
2566,4,14,14.0,135.7
1751,3,8,3.8,106.4
1364,3,28,6.1,68.2
1762,4,19,21.7,92.3
2302,4,0,15.0,118.1
862,2,4,6.6,50.4
2472,4,17,4.3,141.8
1352,2,20,18.9,60.6
1685,3,28,20.1,80.6
2348,4,0,8.0,148.2
917,2,8,4.4,47.7
1798,2,2,20.8,94.3
2065,4,17,1.8,118.1
1530,2,9,8.7,91.8
2560,5,27,1.8,140.7
2015,3,24,12.8,107.9
2441,4,19,16.7,130.4
982,3,25,4.7,51.4
1494,2,23,20.4,60.5
2021,4,25,6.2,103.6
976,2,3,9.0,68.4
1058,2,14,8.3,59.0
2330,5,7,5.7,142.3
1220,3,30,17.2,41.8
1369,3,12,15.3,75.3
706,1,8,4.7,36.7
1193,1,19,10.1,52.3
1891,4,3,9.1,111.2
1830,3,1,15.9,120.2
1752,3,30,16.6,76.7
2023,3,13,2.5,116.1
1292,3,3,16.1,67.7
1265,2,21,9.6,55.9
910,1,21,20.7,28.4
2037,4,5,13.9,115.2
650,1,6,10.0,43.8
1837,4,10,10.8,102.7
1619,3,30,17.7,70.2
